Operation Title,Operation Method,Operation Path,Tag,Kind,Deprecated,file,,
Get status of async export,GET,/api/v1/export/*/status,Export,BWC,FALSE,APIHUB_API.yaml,,
"Async export of version, document or operations group",POST,/api/v1/export,Export,BWC,FALSE,APIHUB_API.yaml,,
User logout,POST,/api/v1/logout,Auth,BWC,FALSE,APIHUB_API.yaml,,
Get package configuration for documents export settings.,GET,/api/v1/packages/*/exportConfig,Packages,BWC,FALSE,APIHUB_API.yaml,,
Change parameter of package export config.,PATCH,/api/v1/packages/*/exportConfig,Packages,BWC,FALSE,APIHUB_API.yaml,,
Get dashboard version publication from CSV file status,GET,/api/v1/packages/*/publish/*/withOperationsGroup/status,Publish,BWC,FALSE,APIHUB_API.yaml,,
Get CSV report of dashboard version publication from CSV file,GET,/api/v1/packages/*/publish/*/withOperationsGroup/status/report,Publish,BWC,FALSE,APIHUB_API.yaml,,
Start dashboard version publication from CSV file,POST,/api/v1/packages/*/publish/withOperationsGroup,Publish,BWC,FALSE,APIHUB_API.yaml,,
Get export template of operation group,GET,/api/v1/packages/*/versions/*/*/groups/*/template,Versions Operation groups,BWC,FALSE,APIHUB_API.yaml,,
Personal access token list retrieve,GET,/api/v1/personalAccessToken,User profile,BWC,FALSE,APIHUB_API.yaml,,
Delete personal access token,DELETE,/api/v1/personalAccessToken/*,User profile,BWC,FALSE,APIHUB_API.yaml,,
Create a personal access token,POST,/api/v1/personalAccessToken,User profile,BWC,FALSE,APIHUB_API.yaml,,
Get history of published version revisions,GET,/api/v1/publishHistory,Admin,NO-BWC,FALSE,Admin_API_internal.yaml,,
System configuration,GET,/api/v1/system/configuration,Auth,BWC,TRUE,APIHUB_API.yaml,,
Get system info.,GET,/api/v1/system/info,Custom,BWC,FALSE,APIHUB_API.yaml,,
Get Extended User Information,GET,/api/v1/user,Users,BWC,TRUE,APIHUB_API.yaml,,
Assign build task to Builder,POST,/api/v2/builders/*/tasks,Publish Admin,BWC,FALSE,APIHUB_API_internal.yaml,,
Get business metrics report,GET,/api/v2/businessMetrics,Admin,BWC,FALSE,Admin_API_internal.yaml,,
Version changelog async calculation,POST,/api/v2/compare,Changes,BWC,FALSE,APIHUB_API.yaml,,
Get packages list,GET,/api/v2/packages,Packages,BWC,FALSE,APIHUB_API.yaml,,
Delete package API Key,DELETE,/api/v2/packages/*/apiKeys/*,Admin,BWC,FALSE,APIHUB_API.yaml,,
Get list of available roles for package,GET,/api/v2/packages/*/availableRoles,Roles,BWC,FALSE,APIHUB_API.yaml,,
Calculate groups by restGroupingPrefix,GET,/api/v2/packages/*/calculateGroups,Versions,BWC,FALSE,APIHUB_API.yaml,,
Delete package,DELETE,/api/v2/packages/*,Packages Admin,BWC,FALSE,APIHUB_API.yaml,,
Disfavor package,POST,/api/v2/packages/*/disfavor,Packages Users,BWC,FALSE,APIHUB_API.yaml,,
Favor package,POST,/api/v2/packages/*/favor,Packages Users,BWC,FALSE,APIHUB_API.yaml,,
Get package by Id,GET,/api/v2/packages/*,Packages,BWC,FALSE,APIHUB_API.yaml,,
Get the package's members list,GET,/api/v2/packages/*/members,Roles Users,BWC,FALSE,APIHUB_API.yaml,,
Add members to the package,POST,/api/v2/packages/*/members,Roles Users,BWC,FALSE,APIHUB_API.yaml,,
Package member delete,DELETE,/api/v2/packages/*/members/*,Roles Users,BWC,FALSE,APIHUB_API.yaml,,
Package member update,PATCH,/api/v2/packages/*/members/*,Roles Users,BWC,FALSE,APIHUB_API.yaml,,
Change the package's parameters,PATCH,/api/v2/packages/*,Packages Admin,BWC,FALSE,APIHUB_API.yaml,,
Get a list of available publish statuses for the package,GET,/api/v2/packages/*/publish/availableStatuses,Publish Packages,BWC,FALSE,APIHUB_API.yaml,, 
Publish package version via upload,POST,/api/v2/packages/*/publish,Publish Admin,BWC,FALSE,APIHUB_API.yaml,,
Get publish process status,GET,/api/v2/packages/*/publish/*/status,Publish Admin,BWC,FALSE,APIHUB_API.yaml,,
Recalculate package version groups,POST,/api/v2/packages/*/recalculateGroups,Versions,BWC,FALSE,APIHUB_API.yaml,,
Delete expired versions recursively,POST,/api/v2/packages/*/versions/recursiveDelete,Versions,BWC,FALSE,APIHUB_API_internal.yaml,,
Get list of deprecated operations,GET,/api/v2/packages/*/versions/*/*/deprecated,Versions,BWC,FALSE,APIHUB_API.yaml,,
Export deprecated operations to xlsx file,GET,/api/v2/packages/*/versions/*/*/export/operations/deprecated,Operations,BWC,FALSE,APIHUB_API.yaml,,
Export operations to xlsx file,GET,/api/v2/packages/*/versions/*/*/export/operations,Operations,BWC,FALSE,APIHUB_API.yaml,,
Delete operation group,DELETE,/api/v2/packages/*/versions/*/*/groups/*,Versions Operation groups,BWC,FALSE,APIHUB_API.yaml,,
Get list of operations for operation group,GET,/api/v2/packages/*/versions/*/*/groups/*,Versions Operation groups,BWC,FALSE,APIHUB_API.yaml,,
Get list of operations,GET,/api/v2/packages/*/versions/*/*/operations,Operations,BWC,FALSE,APIHUB_API.yaml,,
Single operation change log,GET,/api/v2/packages/*/versions/*/*/operations/*/changes,Changes Operations,BWC,FALSE,APIHUB_API.yaml,,
Deprecated items of single operation,GET,/api/v2/packages/*/versions/*/*/operations/*/deprecatedItems,Operations,BWC,FALSE,APIHUB_API.yaml,,
Get operation details,GET,/api/v2/packages/*/versions/*/*/operations/*,Operations,BWC,FALSE,APIHUB_API.yaml,,
List of operations with the same model,GET,/api/v2/packages/*/versions/*/*/operations/*/models/*/usages,Operations,BWC,FALSE,APIHUB_API.yaml,,
Get list of operations tags,GET,/api/v2/packages/*/versions/*/*/tags,Operations,BWC,FALSE,APIHUB_API.yaml,,
Export API changes to xlsx file,GET,/api/v2/packages/*/versions/*/changes/export,Changes,BWC,FALSE,APIHUB_API.yaml,,
Get changes summary,GET,/api/v2/packages/*/versions/*/changes/summary,Changes,BWC,FALSE,APIHUB_API.yaml,,
Get package version config,GET,/api/v2/packages/*/versions/*/config,Versions,BWC,FALSE,APIHUB_API.yaml,,
Copy package version to another package,POST,/api/v2/packages/*/versions/*/copy,Publish Admin,BWC,FALSE,APIHUB_API.yaml,,
Delete package version,DELETE,/api/v2/packages/*/versions/*,Versions Admin,BWC,FALSE,APIHUB_API.yaml,,
Get deprecated operations summary,GET,/api/v2/packages/*/versions/*/deprecated/summary,Versions,BWC,FALSE,APIHUB_API.yaml,,
Export offline API documentation by selected versions,GET,/api/v2/packages/*/versions/*/doc,Export,BWC,TRUE,APIHUB_API.yaml,,
